,mkt_excess_daily
2016-03-08,-0.01137571863614699
2016-03-09,0.0049649832818595375
2016-03-10,7.993518921695177e-05
2016-03-11,0.01618474189980816
2016-03-14,-0.0013391831657706477
2016-03-15,-0.0019160454834768598
2016-03-16,0.00550848098128841
2016-03-17,0.006498504160451439
2016-03-18,0.004322056679108857
2016-03-21,0.0009096236271662619
2016-03-22,-0.0009540197972635384
2016-03-23,-0.006480420102584441
2016-03-24,-0.0004532206875217038
2016-03-28,0.0004708068325243322
2016-03-29,0.008706828938638151
2016-03-30,0.004268917413425415
2016-03-31,-0.0021118559912579942
2016-04-01,0.0062405555686784984
2016-04-04,-0.003283493677491901
2016-04-05,-0.010264362137261061
2016-04-06,0.010383564147871411
2016-04-07,-0.01211496729169702
2016-04-08,0.0027150289753870294
2016-04-11,-0.002811609615070475
2016-04-12,0.009545350383468716
2016-04-13,0.009920446041511273
2016-04-14,0.0001021191042263504
2016-04-15,-0.0010540033602877078
2016-04-18,0.0064497119821607055
2016-04-19,0.003009334404945274
2016-04-20,0.000688513157628455
2016-04-21,-0.005281473429209355
2016-04-22,-2.644147600728355e-05
2016-04-25,-0.0018887685289078794
2016-04-26,0.0017947532737456436
2016-04-27,0.0015744730616917466
2016-04-28,-0.009345988316565875
2016-04-29,-0.005147911810697982
2016-05-02,0.007705696125326784
2016-05-03,-0.008785682503995145
2016-05-04,-0.006024986203393808
2016-05-05,-0.00030827047693590096
2016-05-06,0.0030992070556313477
2016-05-09,0.0006835895805633255
2016-05-10,0.01233674150899071
2016-05-11,-0.009675586603335255
2016-05-12,-0.00023832307087937588
2016-05-13,-0.008581717656393014
2016-05-16,0.009680132586697636
2016-05-17,-0.009525097336304555
2016-05-18,0.00013163663634618584
2016-05-19,-0.00378633641432667
2016-05-20,0.005928717331198626
2016-05-23,-0.0021599888231058936
2016-05-24,0.01351550604403627
2016-05-25,0.006877008601528354
2016-05-26,-0.0002824286300693944
2016-05-27,0.004204953047833392
2016-05-31,-0.0010781208755941947
2016-06-01,0.0010616567623201437
