,rf_daily
2015-12-18,8.596682395248554e-05
2015-12-21,8.635512611711393e-05
2015-12-22,8.790795492513206e-05
2015-12-23,8.907217789615078e-05
2015-12-24,8.829606720166557e-05
2015-12-28,8.790795492513206e-05
2015-12-29,9.101179080355552e-05
2015-12-30,9.062394405856003e-05
2015-12-31,8.907217789615078e-05
2016-01-04,8.790795492513206e-05
2016-01-05,8.829606720166557e-05
2016-01-06,8.557848378793883e-05
2016-01-07,8.48016894293355e-05
2016-01-08,8.36362127060171e-05
2016-01-11,8.519010561603561e-05
2016-01-12,8.32476443856818e-05
2016-01-13,8.169299050947743e-05
2016-01-14,8.247039358146195e-05
2016-01-15,7.974881626635871e-05
2016-01-19,8.091543511005548e-05
2016-01-20,7.89708797870483e-05
2016-01-21,7.93598670900362e-05
2016-01-22,8.1304231854427e-05
2016-01-25,7.974881626635871e-05
2016-01-26,7.89708797870483e-05
2016-01-27,7.93598670900362e-05
2016-01-28,7.858185434991956e-05
2016-01-29,7.624690049128718e-05
2016-02-01,7.741454915890085e-05
2016-02-02,7.35210500550935e-05
2016-02-03,7.391057191732071e-05
2016-02-04,7.35210500550935e-05
2016-02-05,7.313148995383787e-05
2016-02-08,6.884380291513124e-05
2016-02-09,6.845378335923679e-05
2016-02-10,6.728349464052925e-05
2016-02-11,6.416103635549083e-05
2016-02-12,6.845378335923679e-05
2016-02-16,7.001363163728286e-05
2016-02-17,7.118311559925793e-05
2016-02-18,6.884380291513124e-05
2016-02-19,6.923378414174883e-05
2016-02-22,6.962372704662247e-05
2016-02-23,6.845378335923679e-05
2016-02-24,6.884380291513124e-05
2016-02-25,6.728349464052925e-05
2016-02-26,6.923378414174883e-05
2016-02-29,6.845378335923679e-05
2016-03-01,7.196258014080428e-05
2016-03-02,7.235225500420509e-05
2016-03-03,7.196258014080428e-05
2016-03-04,7.391057191732071e-05
2016-03-07,7.5078908144884e-05
2016-03-08,7.196258014080428e-05
2016-03-09,7.468950095471296e-05
2016-03-10,7.585760790567517e-05
2016-03-11,7.780368904332679e-05
2016-03-14,7.741454915890085e-05
2016-03-15,7.741454915890085e-05
2016-03-16,7.624690049128718e-05
2016-03-17,7.5078908144884e-05
2016-03-18,7.391057191732071e-05
2016-03-21,7.546827712603949e-05
2016-03-22,7.624690049128718e-05
2016-03-23,7.391057191732071e-05
2016-03-24,7.5078908144884e-05
2016-03-28,7.430005554802583e-05
2016-03-29,7.118311559925793e-05
2016-03-30,7.196258014080428e-05
2016-03-31,7.001363163728286e-05
2016-04-01,7.040349792125843e-05
2016-04-04,7.001363163728286e-05
2016-04-05,6.80637254665304e-05
2016-04-06,6.923378414174883e-05
2016-04-07,6.689332169215399e-05
2016-04-08,6.767362922947469e-05
2016-04-11,6.80637254665304e-05
2016-04-12,7.040349792125843e-05
2016-04-13,6.962372704662247e-05
2016-04-14,7.079332590607545e-05
2016-04-15,6.923378414174883e-05
2016-04-18,7.001363163728286e-05
2016-04-19,7.040349792125843e-05
2016-04-20,7.274189160604532e-05
2016-04-21,7.391057191732071e-05
2016-04-22,7.430005554802583e-05
2016-04-25,7.5078908144884e-05
2016-04-26,7.624690049128718e-05
2016-04-27,7.35210500550935e-05
2016-04-28,7.235225500420509e-05
2016-04-29,7.196258014080428e-05
2016-05-02,7.391057191732071e-05
2016-05-03,7.118311559925793e-05
2016-05-04,7.040349792125843e-05
2016-05-05,6.923378414174883e-05
2016-05-06,7.040349792125843e-05
2016-05-09,6.962372704662247e-05
2016-05-10,6.962372704662247e-05
2016-05-11,6.80637254665304e-05
2016-05-12,6.884380291513124e-05
2016-05-13,6.728349464052925e-05
2016-05-16,6.884380291513124e-05
2016-05-17,6.923378414174883e-05
2016-05-18,7.35210500550935e-05
2016-05-19,7.274189160604532e-05
2016-05-20,7.274189160604532e-05
2016-05-23,7.235225500420509e-05
2016-05-24,7.313148995383787e-05
2016-05-25,7.35210500550935e-05
2016-05-26,7.196258014080428e-05
2016-05-27,7.274189160604532e-05
2016-05-31,7.235225500420509e-05
2016-06-01,7.274189160604532e-05
2016-06-02,7.118311559925793e-05
2016-06-03,6.728349464052925e-05
2016-06-06,6.80637254665304e-05
2016-06-07,6.767362922947469e-05
2016-06-08,6.728349464052925e-05
2016-06-09,6.611286068693322e-05
2016-06-10,6.455147803123786e-05
2016-06-13,6.377055625989865e-05
2016-06-14,6.377055625989865e-05
2016-06-15,6.298948077892922e-05
2016-06-16,6.181757921951771e-05
2016-06-17,6.377055625989865e-05
2016-06-20,6.572257261499297e-05
2016-06-21,6.728349464052925e-05
2016-06-22,6.650311037680406e-05
2016-06-23,6.845378335923679e-05
